[INFO] [1788546603.327555055] [robot_state_publisher]: Robot initialized
[WARN] [1788546610.233778607] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.250318776] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.262124194] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.270193421] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.286108246] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.327117141] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.362778817] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.402501607] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.434867390] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.518084037] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.553874131] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.584677179] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.611564574] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.629957317] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.660655280] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.678243384] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.710081534] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.741033167] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.762263461] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.850577990] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.928845548] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.966176670] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546610.981763364] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.021151521] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.026679036] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.030572938] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.057873838] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.065149217] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.105522432] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.153640659] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.195365731] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.230075221] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.249642318] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.250058533] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.259053568] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.306996208] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.315472025] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.344880879] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.370579376] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.413025378] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.493101046] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.496661734] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.569372980] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.573970520] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.576937031] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.640475822] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.662174873] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.715335648] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.755124269] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.794942516] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.860002544] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.864802462] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.870253600] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.917600397] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546611.934812035] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.004853567] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.032034755] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.089461018] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.105506509] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.175562287] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.191335273] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.220958462] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.249771596] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
[WARN] [1788546612.262686574] [robot_state_publisher]: Moved backwards in time, re-publishing joint transforms!
